baseline_feature,matched_ft_feature,decoder_cosine_similarity,status
256,3976,0.13586766,changed
257,2169,0.12702405,changed
258,17,0.1274365,changed
259,2747,0.15383019,changed
260,2006,0.13338937,changed
261,209,0.1356566,changed
262,2903,0.14593261,changed
263,548,0.14868097,changed
264,3529,0.14774704,changed
265,1760,0.1388354,changed
266,298,0.13502191,changed
267,1555,0.12951185,changed
268,3816,0.14195836,changed
269,1923,0.121207684,changed
270,3635,0.12044977,changed
271,3050,0.11166741,changed
272,730,0.14646034,changed
273,2905,0.20191142,changed
274,992,0.13502616,changed
275,739,0.22195688,changed
276,1483,0.16905183,changed
277,2770,0.13851705,changed
278,1706,0.30186677,changed
279,3430,0.12391807,changed
280,2148,0.14431214,changed
281,1753,0.12583213,changed
282,499,0.13873649,changed
283,2092,0.11710635,changed
284,3616,0.13307442,changed
285,308,0.13152935,changed
286,901,0.14686754,changed
287,23,0.2088011,changed
288,297,0.11425929,changed
289,1252,0.12104447,changed
290,2969,0.34604084,changed
291,3427,0.11025415,changed
292,1821,0.14911027,changed
293,3598,0.52330965,shifted
294,2386,0.12152282,changed
295,3070,0.1985922,changed
296,2677,0.113751866,changed
297,1948,0.13506873,changed
298,3982,0.20767406,changed
299,861,0.15296383,changed
300,3376,0.13390958,changed
301,4018,0.5083642,shifted
302,2280,0.14188316,changed
303,1702,0.12900063,changed
304,722,0.13943484,changed
305,163,0.13151763,changed
306,1339,0.36472532,changed
307,3734,0.13691524,changed
308,1734,0.13093144,changed
309,2905,0.1353445,changed
310,3313,0.13293275,changed
311,997,0.11580667,changed
312,438,0.12626493,changed
313,1039,0.12837504,changed
314,3556,0.12640929,changed
315,3887,0.13165155,changed
316,2248,0.12659729,changed
317,1928,0.14333601,changed
318,716,0.11689289,changed
319,2891,0.11919822,changed
320,438,0.117067486,changed
321,1483,0.16283762,changed
322,2226,0.14122678,changed
323,3994,0.15562119,changed
324,1090,0.1299035,changed
325,1679,0.11625971,changed
326,1204,0.12114684,changed
327,1872,0.14191645,changed
328,3113,0.14558506,changed
329,3636,0.14117976,changed
330,508,0.23835117,changed
331,2464,0.13830319,changed
332,3745,0.13037936,changed
333,3502,0.12694651,changed
334,3352,0.24461445,changed
335,2338,0.13487858,changed
336,2744,0.1522177,changed
337,2038,0.12806518,changed
338,3797,0.12864627,changed
339,355,0.14774542,changed
340,2673,0.13529085,changed
341,3900,0.11403448,changed
342,1977,0.11682908,changed
343,2393,0.121548735,changed
344,3096,0.34575313,changed
345,1014,0.12261708,changed
346,3975,0.12112884,changed
347,719,0.15056235,changed
348,2484,0.14119314,changed
349,1341,0.15287998,changed
350,3019,0.15631385,changed
351,2327,0.13104825,changed
352,6,0.12583372,changed
353,3533,0.12633888,changed
354,2485,0.12392314,changed
355,289,0.12208199,changed
356,1918,0.13806906,changed
357,3767,0.119300336,changed
358,3127,0.12948272,changed
359,3604,0.1216417,changed
360,1818,0.11355623,changed
361,1483,0.17897528,changed
362,2198,0.1292626,changed
363,3256,0.13730177,changed
364,3396,0.3043045,changed
365,1172,0.12412125,changed
366,2595,0.121308476,changed
367,910,0.153385,changed
368,829,0.12423197,changed
369,628,0.14849672,changed
370,548,0.43125403,changed
371,358,0.14947927,changed
372,3045,0.12363185,changed
373,2235,0.1458677,changed
374,691,0.11780378,changed
375,1370,0.12413964,changed
376,1623,0.16160104,changed
377,10,0.11638248,changed
378,3260,0.11651252,changed
379,3629,0.12625735,changed
380,776,0.15323862,changed
381,3234,0.14777268,changed
382,922,0.13276416,changed
383,2010,0.13212936,changed
384,859,0.29572982,changed
385,2172,0.12109026,changed
386,450,0.13052236,changed
387,23,0.43395275,changed
388,2184,0.1565156,changed
389,587,0.12818287,changed
390,2215,0.12967245,changed
391,1240,0.13217203,changed
392,1583,0.13503484,changed
393,3761,0.1521134,changed
394,950,0.16707902,changed
395,3055,0.19207758,changed
396,3234,0.13271552,changed
397,2838,0.1293636,changed
398,2654,0.1253694,changed
399,1936,0.12560952,changed
400,1882,0.11528291,changed
401,2660,0.13339552,changed
402,560,0.1223742,changed
403,1758,0.1513317,changed
404,2251,0.14281414,changed
405,3476,0.13968304,changed
406,3873,0.21382032,changed
407,1085,0.17909794,changed
408,2358,0.17025407,changed
409,2415,0.12936318,changed
410,1468,0.12181664,changed
411,1410,0.11663502,changed
412,880,0.12603235,changed
413,770,0.12597817,changed
414,2724,0.12701818,changed
415,365,0.11918951,changed
416,3179,0.13569379,changed
417,2238,0.13669628,changed
418,1505,0.11944935,changed
419,1763,0.20001599,changed
420,1350,0.1460394,changed
421,1046,0.13572429,changed
422,1483,0.12517425,changed
423,3178,0.129003,changed
424,3317,0.21412341,changed
425,2371,0.22411522,changed
426,1705,0.113805816,changed
427,3143,0.15445021,changed
428,282,0.1208116,changed
429,621,0.145855,changed
430,124,0.15431309,changed
431,3400,0.12842783,changed
432,3129,0.1286323,changed
433,334,0.13084006,changed
434,438,0.2533301,changed
435,449,0.12268657,changed
436,3899,0.11699793,changed
437,721,0.15210567,changed
438,316,0.11319929,changed
439,3095,0.13530812,changed
440,605,0.1553706,changed
441,1203,0.1200948,changed
442,2146,0.15303448,changed
443,829,0.13671702,changed
444,1800,0.12345772,changed
445,2032,0.12666132,changed
446,3715,0.12415072,changed
447,1288,0.1557946,changed
448,1901,0.13107671,changed
449,2751,0.11722092,changed
450,3454,0.12234793,changed
451,1838,0.13959663,changed
452,667,0.13842729,changed
453,689,0.11872721,changed
454,96,0.12751432,changed
455,3405,0.14212465,changed
456,2777,0.12353767,changed
457,1029,0.12377751,changed
458,3828,0.13686007,changed
459,903,0.13112096,changed
460,3747,0.13676995,changed
461,558,0.15945636,changed
462,1148,0.13442065,changed
463,4084,0.13281044,changed
464,317,0.14780422,changed
465,1738,0.1344375,changed
466,661,0.2560838,changed
467,3109,0.11689554,changed
468,1134,0.13408276,changed
469,1320,0.110848784,changed
470,2020,0.13856758,changed
471,3220,0.22985008,changed
472,539,0.1296258,changed
473,927,0.114762865,changed
474,943,0.12660211,changed
475,3158,0.2919582,changed
476,383,0.112877265,changed
477,2402,0.14306076,changed
478,2400,0.12437755,changed
479,2365,0.1318647,changed
480,3503,0.12218286,changed
481,135,0.1395239,changed
482,3129,0.111202754,changed
483,1931,0.12778877,changed
484,2161,0.121974275,changed
485,932,0.14244647,changed
486,1448,0.13673273,changed
487,3528,0.1320968,changed
488,2701,0.13844931,changed
489,952,0.122724645,changed
490,2317,0.13512126,changed
491,1266,0.12163907,changed
492,1066,0.122021735,changed
493,1527,0.14345801,changed
494,108,0.121332064,changed
495,1243,0.16613464,changed
496,3097,0.13131969,changed
497,2194,0.120447405,changed
498,268,0.13620506,changed
499,2749,0.13571149,changed
500,1717,0.13286339,changed
501,21,0.12989575,changed
502,1318,0.12875502,changed
503,1571,0.15227023,changed
504,2210,0.13911058,changed
505,1993,0.12529287,changed
506,975,0.12278679,changed
507,3471,0.12969914,changed
508,3191,0.13333154,changed
509,1241,0.12967704,changed
510,2563,0.13924688,changed
511,3613,0.12436187,changed
512,3942,0.12390612,changed
513,1342,0.13397679,changed
514,2551,0.12538251,changed
515,1409,0.11808741,changed
516,682,0.14180538,changed
517,3893,0.11563326,changed
518,2567,0.12973344,changed
519,3286,0.11553847,changed
520,1020,0.15743248,changed
521,2799,0.11469261,changed
522,847,0.12678246,changed
523,3833,0.12789437,changed
524,2538,0.13015383,changed
525,3803,0.12641576,changed
526,1376,0.1324685,changed
527,3476,0.15794505,changed
528,49,0.12033738,changed
529,2443,0.13826256,changed
530,2703,0.12890854,changed
531,3639,0.1365861,changed
532,3046,0.13796586,changed
533,339,0.13657334,changed
534,1178,0.13043024,changed
535,794,0.122908965,changed
536,3815,0.12985085,changed
537,3463,0.13364132,changed
538,3722,0.12903468,changed
539,2622,0.12204808,changed
540,2925,0.13969648,changed
541,3391,0.11816366,changed
542,1315,0.13109565,changed
543,1359,0.16440663,changed
544,3094,0.1250261,changed
545,1042,0.19910406,changed
546,24,0.12760338,changed
547,2856,0.13277029,changed
548,954,0.117397964,changed
549,787,0.1346337,changed
550,2706,0.14935365,changed
551,1438,0.145877,changed
552,970,0.13028064,changed
553,3048,0.17100435,changed
554,462,0.12524615,changed
555,186,0.11577556,changed
556,2856,0.14277422,changed
557,1601,0.13640076,changed
558,3996,0.12934548,changed
559,138,0.12692223,changed
560,922,0.13196845,changed
561,1884,0.13380297,changed
562,254,0.1340932,changed
563,1900,0.12648809,changed
564,1523,0.12466857,changed
565,609,0.12369196,changed
566,1316,0.12962723,changed
567,615,0.11842209,changed
568,3692,0.119859844,changed
569,1425,0.1377143,changed
570,4010,0.3056087,changed
571,200,0.13001616,changed
572,2790,0.12881595,changed
573,3793,0.1553666,changed
574,2291,0.13365567,changed
575,1706,0.2208986,changed
576,92,0.13115503,changed
577,3589,0.11751677,changed
578,2499,0.16434102,changed
579,3913,0.13650309,changed
580,889,0.12810306,changed
581,2823,0.15299045,changed
582,4064,0.12194261,changed
583,225,0.13492103,changed
584,3801,0.14421836,changed
585,902,0.12515736,changed
586,2478,0.14770839,changed
587,156,0.14685689,changed
588,2978,0.12513322,changed
589,392,0.12620799,changed
590,3627,0.13286865,changed
591,3846,0.13198827,changed
592,475,0.13208652,changed
593,1339,0.14281657,changed
594,2688,0.117352605,changed
595,1637,0.124208555,changed
596,763,0.16014075,changed
597,3619,0.14905345,changed
598,613,0.13397828,changed
599,1433,0.15865894,changed
600,3042,0.12917621,changed
601,2403,0.1256157,changed
602,2626,0.12836926,changed
603,3432,0.16103306,changed
604,2070,0.11545893,changed
605,3839,0.11169418,changed
606,1281,0.11981988,changed
607,1889,0.15656035,changed
608,67,0.107502565,changed
609,2193,0.13536684,changed
610,1071,0.13124534,changed
611,2019,0.1389027,changed
612,897,0.12121904,changed
613,1850,0.1206088,changed
614,1536,0.11384024,changed
615,1916,0.12675714,changed
616,1390,0.112978816,changed
617,881,0.11782095,changed
618,484,0.16451246,changed
619,4087,0.12438752,changed
620,2480,0.14350384,changed
621,2465,0.12669595,changed
622,3998,0.1409849,changed
623,496,0.13158086,changed
624,1694,0.13613181,changed
625,3582,0.13278121,changed
626,86,0.14180265,changed
627,3116,0.20236906,changed
628,1290,0.1447121,changed
629,506,0.11645441,changed
630,3060,0.11368245,changed
631,2740,0.13107352,changed
632,1158,0.12807825,changed
633,2329,0.14290848,changed
634,1967,0.11985828,changed
635,23,0.20234823,changed
636,3097,0.12086774,changed
637,2528,0.12581538,changed
638,3420,0.15624598,changed
639,1623,0.13957614,changed
640,1512,0.15602568,changed
641,2666,0.11069918,changed
642,1214,0.14997458,changed
643,2070,0.19842896,changed
644,2408,0.13683744,changed
645,1872,0.11584383,changed
646,2106,0.14316475,changed
647,929,0.13212489,changed
648,562,0.2558397,changed
649,16,0.122475415,changed
650,1234,0.14586751,changed
651,3924,0.3009941,changed
652,2729,0.15210986,changed
653,606,0.16217415,changed
654,2136,0.12355813,changed
655,2154,0.1342054,changed
656,2975,0.13945861,changed
657,1150,0.13978544,changed
658,823,0.22738755,changed
659,1678,0.13132596,changed
660,3275,0.14177243,changed
661,1618,0.1820602,changed
662,2802,0.13222791,changed
663,1344,0.28344586,changed
664,124,0.21164303,changed
665,2524,0.11435343,changed
666,1062,0.112745464,changed
667,1798,0.20005491,changed
668,3884,0.12789641,changed
669,1152,0.12164906,changed
670,19,0.12730393,changed
671,3503,0.13430268,changed
672,3461,0.13204576,changed
673,2381,0.12537897,changed
674,3603,0.12031404,changed
675,1672,0.12292116,changed
676,730,0.17163914,changed
677,2823,0.13149457,changed
678,1303,0.14085345,changed
679,2131,0.17680189,changed
680,2642,0.11745456,changed
681,3580,0.12880291,changed
682,3360,0.14369097,changed
683,1068,0.17069268,changed
684,2422,0.13032416,changed
685,2916,0.12219292,changed
686,2619,0.11930389,changed
687,192,0.22443926,changed
688,3605,0.15357673,changed
689,2507,0.1249065,changed
690,1035,0.16286343,changed
691,1489,0.14210802,changed
692,874,0.16991553,changed
693,600,0.13198079,changed
694,3712,0.116922855,changed
695,2143,0.15598068,changed
696,1637,0.2886353,changed
697,1482,0.13211934,changed
698,3711,0.1293872,changed
699,3143,0.14709659,changed
700,464,0.12952504,changed
701,69,0.11476563,changed
702,2053,0.12687315,changed
703,2131,0.21785827,changed
704,3420,0.1293826,changed
705,3352,0.2406159,changed
706,620,0.11712636,changed
707,3333,0.17173384,changed
708,2698,0.11685188,changed
709,2460,0.1393849,changed
710,2650,0.11704008,changed
711,265,0.13290808,changed
712,3093,0.1434402,changed
713,3491,0.13177776,changed
714,2417,0.14535019,changed
715,1534,0.15664928,changed
716,484,0.6777525,shifted
717,120,0.13857435,changed
718,1834,0.12330648,changed
719,4053,0.15166356,changed
720,2653,0.12531118,changed
721,1797,0.140995,changed
722,3077,0.12511788,changed
723,1199,0.13303307,changed
724,282,0.124983996,changed
725,2301,0.1292474,changed
726,143,0.1227763,changed
727,810,0.1289916,changed
728,534,0.1626979,changed
729,3317,0.12275191,changed
730,3343,0.1280967,changed
731,1420,0.11703446,changed
732,2679,0.13886034,changed
733,2994,0.1242813,changed
734,3109,0.12054663,changed
735,296,0.13347976,changed
736,1268,0.13453001,changed
737,1897,0.14855239,changed
738,3312,0.13523869,changed
739,846,0.1517904,changed
740,618,0.18545519,changed
741,958,0.14639653,changed
742,3108,0.11998746,changed
743,3949,0.115733474,changed
744,1309,0.13685521,changed
745,3069,0.15086925,changed
746,345,0.13593504,changed
747,3741,0.1372925,changed
748,2513,0.123286605,changed
749,4047,0.13994175,changed
750,3682,0.13272284,changed
751,2866,0.1885421,changed
752,3137,0.12409644,changed
753,1911,0.15157312,changed
754,1682,0.15992813,changed
755,3584,0.14391285,changed
756,655,0.14877668,changed
757,2618,0.12445426,changed
758,4070,0.1640341,changed
759,98,0.11794974,changed
760,3478,0.12710005,changed
761,3344,0.14370064,changed
762,499,0.12418601,changed
763,1633,0.15529643,changed
764,1361,0.12403606,changed
765,396,0.15219426,changed
766,1304,0.13374129,changed
767,1763,0.34744844,changed
768,2567,0.12711643,changed
769,737,0.12495332,changed
770,3754,0.13082717,changed
771,3967,0.141996,changed
772,769,0.12273304,changed
773,3839,0.12373946,changed
774,3748,0.116614915,changed
775,2976,0.13267066,changed
776,657,0.11735612,changed
777,3295,0.11327971,changed
778,642,0.13311279,changed
779,320,0.14195786,changed
780,13,0.13160434,changed
781,2223,0.1751271,changed
782,1221,0.12143981,changed
783,3756,0.12742984,changed
784,705,0.11627729,changed
785,3458,0.12978807,changed
786,244,0.12922317,changed
787,514,0.1331638,changed
788,1813,0.12529469,changed
789,1991,0.19668695,changed
790,3924,0.2085984,changed
791,3765,0.12009244,changed
792,2830,0.12400362,changed
793,2889,0.122829266,changed
794,3871,0.12627059,changed
795,3249,0.13002731,changed
796,2443,0.1648293,changed
797,2801,0.12025316,changed
798,3131,0.12893957,changed
799,57,0.18472785,changed
800,3645,0.113659956,changed
801,3998,0.13714673,changed
802,3475,0.13237134,changed
803,3650,0.12940621,changed
804,529,0.43033528,changed
805,2082,0.120954245,changed
806,3879,0.12749621,changed
807,4032,0.16847083,changed
808,1858,0.13814043,changed
809,2027,0.1310749,changed
810,1151,0.112801924,changed
811,3986,0.1283952,changed
812,2950,0.14838868,changed
813,3730,0.121689364,changed
814,2376,0.12559295,changed
815,2165,0.12634632,changed
816,3560,0.13664159,changed
817,1590,0.18723592,changed
818,507,0.1314879,changed
819,2848,0.13093932,changed
820,2462,0.13806438,changed
821,1456,0.114999294,changed
822,2036,0.12274104,changed
823,3137,0.1384849,changed
824,1916,0.15734357,changed
825,1706,0.32816696,changed
826,1149,0.11720465,changed
827,158,0.13196209,changed
828,2145,0.15847293,changed
829,996,0.12534347,changed
830,392,0.1665804,changed
831,1625,0.13151246,changed
832,37,0.12460218,changed
833,2231,0.13084856,changed
834,4023,0.1305366,changed
835,1676,0.11793853,changed
836,2997,0.12364062,changed
837,3636,0.1349865,changed
838,753,0.12898076,changed
839,372,0.13789946,changed
840,3871,0.16048516,changed
841,2974,0.12249082,changed
842,571,0.1749112,changed
843,1177,0.11317773,changed
844,2310,0.26007748,changed
845,2904,0.13714914,changed
846,1339,0.2242111,changed
847,4006,0.13858278,changed
848,1053,0.1286108,changed
849,2501,0.12583193,changed
850,672,0.14742967,changed
851,730,0.14919877,changed
852,895,0.13091078,changed
853,2428,0.12699378,changed
854,2006,0.1688714,changed
855,1578,0.13458607,changed
856,843,0.12646325,changed
857,3688,0.13119,changed
858,14,0.12971726,changed
859,4074,0.12226884,changed
860,2145,0.11744627,changed
861,1445,0.12904514,changed
862,2998,0.12715514,changed
863,341,0.1324226,changed
864,3048,0.19627127,changed
865,519,0.12102097,changed
866,2192,0.14118321,changed
867,3999,0.14740707,changed
868,2311,0.14684328,changed
869,2353,0.140998,changed
870,2184,0.13953722,changed
871,3477,0.14606814,changed
872,1111,0.12018868,changed
873,1341,0.20874539,changed
874,1489,0.15550372,changed
875,187,0.121191666,changed
876,489,0.110075206,changed
877,2361,0.1415575,changed
878,141,0.14034644,changed
879,2283,0.1260134,changed
880,3874,0.12730573,changed
881,1389,0.13469642,changed
882,2714,0.14858645,changed
883,337,0.15899034,changed
884,531,0.14572404,changed
885,1054,0.12324345,changed
886,2156,0.14868908,changed
887,535,0.5124693,shifted
888,3389,0.1329886,changed
889,2369,0.16112666,changed
890,2203,0.11831574,changed
891,2514,0.118719414,changed
892,1983,0.13352297,changed
893,3684,0.17470396,changed
894,417,0.12095536,changed
895,2171,0.13039112,changed
896,3522,0.14353181,changed
897,1349,0.11979413,changed
898,2570,0.12975866,changed
899,3981,0.14270939,changed
900,3896,0.13023183,changed
901,311,0.1643123,changed
902,2165,0.14451587,changed
903,2847,0.1481477,changed
904,2304,0.12690204,changed
905,1439,0.13344535,changed
906,3819,0.13695192,changed
907,304,0.54365265,shifted
908,273,0.124579996,changed
909,859,0.21526286,changed
910,2286,0.13354048,changed
911,521,0.120694816,changed
912,318,0.13186651,changed
913,3800,0.12802681,changed
914,3372,0.11306299,changed
915,157,0.13057135,changed
916,3083,0.14078753,changed
917,2261,0.17299157,changed
918,1411,0.1194538,changed
919,1149,0.1276964,changed
920,2570,0.1306441,changed
921,2184,0.19718497,changed
922,2063,0.1296448,changed
923,2233,0.14263214,changed
924,849,0.14138542,changed
925,385,0.11855176,changed
926,79,0.13482055,changed
927,45,0.12551449,changed
928,3090,0.13929464,changed
929,466,0.152554,changed
930,240,0.12463261,changed
931,1798,0.329147,changed
932,3429,0.123926416,changed
933,1732,0.16349122,changed
934,3834,0.17783174,changed
935,28,0.11297306,changed
936,447,0.29714522,changed
937,601,0.14200845,changed
938,1383,0.12853014,changed
939,1364,0.12649642,changed
940,1810,0.12946853,changed
941,1548,0.12257455,changed
942,637,0.23690286,changed
943,3124,0.12639345,changed
944,2158,0.12928994,changed
945,175,0.12163152,changed
946,2969,0.2101219,changed
947,607,0.13278511,changed
948,2189,0.18625095,changed
949,3052,0.12551916,changed
950,1545,0.14378934,changed
951,1359,0.13754535,changed
952,824,0.12787122,changed
953,2037,0.12623844,changed
954,753,0.24674475,changed
955,3377,0.1370481,changed
956,3289,0.12583564,changed
957,3896,0.12654789,changed
958,553,0.12116486,changed
959,1596,0.15724379,changed
960,2988,0.115181014,changed
961,1740,0.12244484,changed
962,1279,0.15178636,changed
963,676,0.1565527,changed
964,3817,0.1282137,changed
965,930,0.13798606,changed
966,3257,0.16174334,changed
967,2701,0.13512209,changed
968,1481,0.11475801,changed
969,1052,0.12318002,changed
970,3836,0.22127977,changed
971,3733,0.11950779,changed
972,3723,0.18030947,changed
973,17,0.14105703,changed
974,2579,0.13975951,changed
975,2520,0.15248767,changed
976,3397,0.12897995,changed
977,3367,0.12314553,changed
978,311,0.122676834,changed
979,1630,0.124770835,changed
980,3848,0.13668232,changed
981,770,0.15833595,changed
982,3836,0.28374594,changed
983,1627,0.1351062,changed
984,272,0.13218468,changed
985,2851,0.16098286,changed
986,492,0.12879595,changed
987,3235,0.14455986,changed
988,2263,0.1624604,changed
989,3939,0.14125139,changed
990,1565,0.116778314,changed
991,3239,0.14256078,changed
992,809,0.13627186,changed
993,594,0.12595212,changed
994,4079,0.123046845,changed
995,1003,0.1275807,changed
996,3308,0.13751614,changed
997,1246,0.117941566,changed
998,1868,0.13028018,changed
999,3836,0.18853813,changed
1000,3302,0.13825187,changed
1001,3782,0.13226256,changed
1002,761,0.13461606,changed
1003,1815,0.11661497,changed
1004,3442,0.13130677,changed
1005,3581,0.12598456,changed
1006,377,0.15181914,changed
1007,3523,0.12531993,changed
1008,3467,0.12884533,changed
1009,427,0.15297425,changed
1010,504,0.12867014,changed
1011,1645,0.14567299,changed
1012,2398,0.14345598,changed
1013,2960,0.14561099,changed
