pretrained_code_feature,matched_finetuned_code_feature,decoder_cosine_similarity,status
188,3917,0.14710677,changed
189,1212,0.13401113,changed
190,468,0.12552594,changed
191,669,0.12451638,changed
192,1311,0.13992596,changed
193,3020,0.14366764,changed
194,3846,0.12487337,changed
195,2257,0.12510885,changed
196,1708,0.11703461,changed
197,2120,0.13970011,changed
198,1565,0.1387459,changed
199,3999,0.28758895,changed
200,2608,0.13756408,changed
201,3846,0.12171077,changed
202,3892,0.14149958,changed
203,1247,0.13176405,changed
204,2567,0.13183363,changed
205,2607,0.14217824,changed
206,955,0.19768815,changed
207,2923,0.12245579,changed
208,307,0.13698691,changed
209,1570,0.12992352,changed
210,2964,0.15311085,changed
211,3214,0.20455658,changed
212,3758,0.12881044,changed
213,595,0.13785447,changed
214,3436,0.14702219,changed
215,690,0.13626882,changed
216,3384,0.13716182,changed
217,1556,0.12539066,changed
218,1319,0.13629137,changed
219,2924,0.12214139,changed
220,2184,0.14694777,changed
221,510,0.1355881,changed
222,1764,0.1353688,changed
223,135,0.3970382,changed
224,4015,0.12578373,changed
225,2432,0.120523766,changed
226,1501,0.13494352,changed
227,3224,0.14120767,changed
228,2650,0.11923158,changed
229,2744,0.13253166,changed
230,1704,0.10837445,changed
231,2006,0.24873585,changed
232,3445,0.13178621,changed
233,2983,0.12577845,changed
234,3584,0.14876923,changed
235,2437,0.14354852,changed
236,3484,0.14721,changed
237,971,0.13846527,changed
238,2762,0.15719733,changed
239,1506,0.12640148,changed
240,3770,0.18907064,changed
241,3906,0.124460116,changed
242,1922,0.13065326,changed
243,838,0.1250377,changed
244,445,0.12482922,changed
245,1415,0.13560274,changed
246,2979,0.12967518,changed
247,488,0.13954546,changed
248,2684,0.13511576,changed
249,2038,0.12378586,changed
250,526,0.12483777,changed
251,3864,0.120267965,changed
252,2799,0.5388731,shifted
253,1459,0.13818881,changed
254,1126,0.12931031,changed
255,1464,0.4970521,changed
256,1349,0.11438647,changed
257,2328,0.13202947,changed
258,3262,0.16972394,changed
259,1218,0.12960215,changed
260,40,0.13736227,changed
261,1699,0.12334066,changed
262,740,0.1288896,changed
263,1409,0.2332454,changed
264,3832,0.13551617,changed
265,31,0.13743354,changed
266,2552,0.11672121,changed
267,2671,0.13798451,changed
268,2002,0.12752998,changed
269,547,0.13471612,changed
270,1060,0.25515565,changed
271,2095,0.19630793,changed
272,2475,0.13899861,changed
273,1619,0.11507567,changed
274,2788,0.12326662,changed
275,1409,0.12969358,changed
276,2528,0.12270799,changed
277,3987,0.14190952,changed
278,3663,0.11819452,changed
279,642,0.20353693,changed
280,2249,0.1424125,changed
281,1626,0.13403876,changed
282,3505,0.1302655,changed
283,693,0.14067991,changed
284,3839,0.25874966,changed
285,1692,0.12988225,changed
286,840,0.12763615,changed
287,157,0.12841065,changed
288,2378,0.12951222,changed
289,1848,0.39459512,changed
290,1292,0.28137463,changed
291,514,0.13204944,changed
292,1777,0.14790416,changed
293,715,0.1346055,changed
294,597,0.12498894,changed
295,625,0.13488933,changed
296,115,0.34553736,changed
297,4070,0.28533697,changed
298,3759,0.12606417,changed
299,1995,0.41266042,changed
300,903,0.30240574,changed
301,237,0.13666072,changed
302,2279,0.122559875,changed
303,1483,0.2325476,changed
304,666,0.12489522,changed
305,1036,0.13692392,changed
306,3237,0.12089859,changed
307,632,0.26151153,changed
308,176,0.18370345,changed
309,268,0.12674925,changed
310,1265,0.14180303,changed
311,124,0.16440237,changed
312,1015,0.1905351,changed
313,975,0.11356665,changed
314,1723,0.13199988,changed
315,225,0.13797094,changed
316,1385,0.14246324,changed
317,1915,0.12146968,changed
318,3066,0.13277106,changed
319,1875,0.17152473,changed
320,1353,0.14655182,changed
321,3412,0.13614751,changed
322,1205,0.14811076,changed
323,2911,0.1265707,changed
324,279,0.11827783,changed
325,2744,0.14058384,changed
326,1568,0.1318977,changed
327,2024,0.12304531,changed
328,1042,0.114441425,changed
329,3220,0.38445514,changed
330,2036,0.121012636,changed
331,3327,0.13382638,changed
332,3971,0.13073196,changed
333,2443,0.15945378,changed
334,692,0.14068276,changed
335,4032,0.12343469,changed
336,1759,0.12636176,changed
337,918,0.13650048,changed
338,988,0.28526774,changed
339,3598,0.4258381,changed
340,1960,0.13967103,changed
341,3814,0.16433333,changed
342,2270,0.18031037,changed
343,2474,0.14970475,changed
344,623,0.12345858,changed
345,2199,0.11788475,changed
346,2220,0.12538134,changed
347,164,0.13563907,changed
348,2164,0.13536145,changed
349,1835,0.12674516,changed
350,635,0.11174828,changed
351,1712,0.14901155,changed
352,478,0.13446921,changed
353,729,0.1388846,changed
354,3274,0.15335153,changed
355,2899,0.12277291,changed
356,3447,0.13320518,changed
357,3836,0.17150128,changed
358,2242,0.11164835,changed
359,3477,0.13479272,changed
360,2834,0.14430627,changed
361,3345,0.15829135,changed
362,1894,0.13249308,changed
363,1237,0.20561561,changed
364,724,0.21486011,changed
365,1455,0.13324264,changed
366,1495,0.13663243,changed
367,2748,0.12926796,changed
368,2532,0.1299241,changed
369,2966,0.13746771,changed
370,1093,0.13393947,changed
371,3542,0.12999022,changed
372,1408,0.1273102,changed
373,777,0.11809383,changed
374,2229,0.1260715,changed
375,1440,0.121932045,changed
376,1166,0.12865393,changed
377,4069,0.13448538,changed
378,1472,0.13752273,changed
379,430,0.1206337,changed
380,229,0.13305241,changed
381,3000,0.14448972,changed
382,124,0.22563004,changed
383,2579,0.3798422,changed
384,2291,0.1405277,changed
385,591,0.13114694,changed
386,1247,0.121773705,changed
387,1318,0.15931457,changed
388,3426,0.12816674,changed
389,481,0.120735765,changed
390,253,0.13457036,changed
391,2975,0.12260631,changed
392,3680,0.12624946,changed
393,2402,0.13116233,changed
394,3304,0.124114946,changed
395,3235,0.12813717,changed
396,3337,0.21783437,changed
397,217,0.11773911,changed
398,427,0.12978569,changed
399,1483,0.12302632,changed
400,3170,0.12869102,changed
401,1264,0.13358179,changed
402,3317,0.5094495,shifted
403,496,0.12646775,changed
404,3055,0.23873973,changed
405,1567,0.14560819,changed
406,3706,0.13046205,changed
407,3013,0.12500165,changed
408,2006,0.11965031,changed
409,3867,0.12933639,changed
410,2633,0.12550463,changed
411,6,0.13187326,changed
412,3396,0.1381725,changed
413,3569,0.15645017,changed
414,753,0.3491133,changed
415,1030,0.1321204,changed
416,2910,0.11890316,changed
417,1153,0.124676086,changed
418,1972,0.13274097,changed
419,2398,0.6230066,shifted
420,3425,0.4289491,changed
421,3070,0.2391939,changed
422,1011,0.11931119,changed
423,3544,0.14385974,changed
424,2832,0.12397334,changed
425,151,0.12407677,changed
426,3638,0.1267983,changed
427,2221,0.15950249,changed
428,631,0.13804133,changed
429,3465,0.14386433,changed
430,2217,0.13017699,changed
431,0,0.5464549,shifted
432,3459,0.11344102,changed
433,3090,0.6589416,shifted
434,1058,0.12988378,changed
435,2833,0.11598363,changed
436,2073,0.11766417,changed
437,2784,0.12558702,changed
438,2095,0.13517994,changed
439,220,0.14557263,changed
440,3375,0.13149458,changed
441,22,0.13568741,changed
442,1685,0.13485399,changed
443,636,0.13111334,changed
444,3116,0.11789437,changed
445,2870,0.13535324,changed
446,3888,0.1421181,changed
447,457,0.13688017,changed
448,2847,0.1324386,changed
449,1317,0.16526727,changed
450,1741,0.154569,changed
451,3685,0.11459172,changed
452,2568,0.14994518,changed
453,3536,0.13331725,changed
454,3859,0.36328933,changed
455,585,0.1115261,changed
456,2286,0.26838464,changed
457,2255,0.13839118,changed
458,1369,0.13037437,changed
459,2095,0.1820862,changed
460,514,0.12311783,changed
461,3023,0.14806676,changed
462,429,0.13609147,changed
463,1009,0.12043225,changed
464,383,0.11746997,changed
465,746,0.20919232,changed
466,308,0.13088582,changed
467,937,0.124987125,changed
468,3660,0.20573272,changed
469,2462,0.1320369,changed
470,541,0.12042457,changed
471,3201,0.14009672,changed
472,1946,0.1194524,changed
473,700,0.12903255,changed
474,2354,0.13394392,changed
475,2285,0.12266646,changed
476,1206,0.1397803,changed
477,1371,0.14639032,changed
478,420,0.11257377,changed
479,2729,0.13909096,changed
480,2588,0.12039609,changed
481,2202,0.1253826,changed
482,2891,0.12989952,changed
483,2658,0.12618598,changed
484,1012,0.12104685,changed
485,1803,0.12360285,changed
486,2947,0.1270746,changed
487,2655,0.14970861,changed
488,69,0.30493635,changed
489,3476,0.1904817,changed
490,3073,0.1361746,changed
491,2126,0.120811455,changed
492,1575,0.12710747,changed
493,3687,0.13719408,changed
494,1763,0.73674333,shifted
495,1306,0.16439535,changed
496,3154,0.32990974,changed
497,1250,0.13804966,changed
498,2101,0.15692133,changed
499,3482,0.1349226,changed
500,1538,0.10983318,changed
501,3345,0.13702023,changed
502,2892,0.13757277,changed
503,2290,0.12838162,changed
504,3841,0.13200358,changed
505,781,0.12684654,changed
506,2116,0.14806692,changed
507,3154,0.1590068,changed
508,2361,0.2954926,changed
509,1751,0.1283014,changed
510,3116,0.13844566,changed
511,2128,0.15119311,changed
512,2246,0.15042165,changed
513,876,0.12682027,changed
514,332,0.13229036,changed
515,861,0.12723714,changed
516,2026,0.11137235,changed
517,3325,0.11742549,changed
518,2919,0.121135294,changed
519,2079,0.12253687,changed
520,1195,0.11922896,changed
521,2944,0.14828879,changed
522,3055,0.11996202,changed
523,203,0.11610939,changed
524,1973,0.12287929,changed
525,3572,0.14173697,changed
526,2998,0.12698808,changed
527,698,0.14169097,changed
528,2115,0.13247758,changed
529,3488,0.13782671,changed
530,484,0.16171205,changed
531,3669,0.12902771,changed
532,269,0.11136299,changed
533,1038,0.14704552,changed
534,2102,0.11415404,changed
535,936,0.15179671,changed
536,1596,0.20641689,changed
537,2984,0.12201673,changed
538,1702,0.1444214,changed
539,888,0.12651327,changed
540,3947,0.114096425,changed
541,2880,0.12967002,changed
542,1732,0.19964199,changed
543,252,0.13086756,changed
544,2160,0.12574857,changed
545,1182,0.21956044,changed
546,778,0.1431416,changed
547,3680,0.11421691,changed
548,1879,0.13203394,changed
549,2692,0.13593376,changed
550,1722,0.12040794,changed
551,3198,0.13128592,changed
552,995,0.119824685,changed
553,1211,0.120462954,changed
554,1862,0.11681391,changed
555,3560,0.15867367,changed
556,3559,0.11794391,changed
557,3476,0.22949722,changed
558,2316,0.25499335,changed
559,636,0.13257696,changed
560,962,0.1236503,changed
561,3926,0.1473372,changed
562,615,0.15022072,changed
563,3836,0.2724065,changed
564,556,0.12564227,changed
565,2248,0.14557691,changed
566,540,0.11862941,changed
567,1451,0.13157845,changed
568,1618,0.24124277,changed
569,3596,0.16898891,changed
570,1409,0.158288,changed
571,3013,0.1264387,changed
572,3360,0.14358827,changed
573,3515,0.12893558,changed
574,70,0.15725946,changed
575,868,0.13063978,changed
576,219,0.12327132,changed
577,452,0.13024907,changed
578,292,0.1305674,changed
579,2569,0.15140131,changed
580,3692,0.12031641,changed
581,3020,0.16448252,changed
582,1551,0.13224459,changed
583,2095,0.26913372,changed
584,3084,0.12868881,changed
585,4043,0.14451598,changed
586,2841,0.1457851,changed
587,1341,0.27868223,changed
588,1649,0.12414272,changed
589,712,0.18332282,changed
590,3104,0.13727148,changed
591,3805,0.1612435,changed
592,3539,0.119000375,changed
593,263,0.12664966,changed
594,3807,0.1287069,changed
595,871,0.11592598,changed
596,1617,0.117240444,changed
597,3428,0.14481334,changed
598,4029,0.13208175,changed
599,3793,0.13308206,changed
600,2479,0.12913166,changed
601,3189,0.14207728,changed
602,3148,0.12585407,changed
603,2367,0.12511875,changed
604,648,0.12038784,changed
605,1238,0.14808328,changed
606,1267,0.11653322,changed
607,381,0.11879955,changed
608,4018,0.14006913,changed
609,3397,0.14834811,changed
610,3572,0.12642702,changed
611,3966,0.14497513,changed
612,2695,0.14861603,changed
613,4079,0.13227451,changed
614,3229,0.14156382,changed
615,2141,0.18004751,changed
616,393,0.11437549,changed
617,3231,0.12623307,changed
618,849,0.12438393,changed
619,4070,0.13160178,changed
620,2632,0.13343962,changed
621,23,0.18270606,changed
622,137,0.1295668,changed
623,1810,0.116122544,changed
624,1250,0.13469063,changed
625,2405,0.16045915,changed
626,1134,0.27588844,changed
627,1851,0.14474002,changed
628,123,0.12462512,changed
629,3216,0.12877476,changed
630,373,0.12305458,changed
631,3081,0.14402604,changed
632,1228,0.16065551,changed
633,205,0.14879517,changed
634,1464,0.41825205,changed
635,1510,0.124599695,changed
636,2507,0.11855419,changed
637,2168,0.12522909,changed
638,3899,0.2705711,changed
639,620,0.33457047,changed
640,1995,0.30194807,changed
641,2487,0.11543709,changed
642,4054,0.12416253,changed
643,2495,0.1274428,changed
644,192,0.13080806,changed
645,1779,0.1363108,changed
646,462,0.30064276,changed
647,3667,0.111763306,changed
648,3840,0.1421434,changed
649,3175,0.11654855,changed
650,2292,0.12530391,changed
651,1341,0.20550992,changed
652,871,0.19574235,changed
653,3516,0.15063405,changed
654,1657,0.13830473,changed
655,2014,0.117836654,changed
656,1035,0.19882101,changed
657,1953,0.113980316,changed
658,2960,0.22457841,changed
659,1991,0.20732692,changed
660,3352,0.11015007,changed
661,2600,0.118769586,changed
662,1578,0.12127824,changed
663,3938,0.12867916,changed
664,1271,0.12649709,changed
665,2933,0.12959664,changed
666,3633,0.13580875,changed
667,720,0.13398337,changed
668,535,0.3476022,changed
669,1330,0.11449127,changed
670,2798,0.11334628,changed
671,1289,0.13445649,changed
672,2028,0.12967473,changed
673,3035,0.12582922,changed
674,374,0.13338894,changed
675,2760,0.12582462,changed
676,1342,0.13834973,changed
677,3559,0.13852581,changed
678,1758,0.15546018,changed
679,642,0.12998727,changed
680,814,0.12984218,changed
681,3951,0.14647868,changed
682,2993,0.15478316,changed
683,2133,0.29070637,changed
684,3117,0.15078434,changed
685,3176,0.1260353,changed
686,3442,0.123829946,changed
687,2184,0.16765904,changed
688,954,0.1297266,changed
689,30,0.15205973,changed
690,269,0.12172514,changed
691,3577,0.15432358,changed
692,753,0.16846876,changed
693,3997,0.13378164,changed
694,1683,0.13268107,changed
695,1692,0.13402653,changed
696,2184,0.13885249,changed
697,2524,0.12457229,changed
698,2212,0.14164509,changed
699,2481,0.15795602,changed
700,1612,0.13301218,changed
701,748,0.14076558,changed
702,1488,0.1262245,changed
703,722,0.42813146,changed
704,2501,0.1787394,changed
705,1905,0.13899715,changed
706,1489,0.13312471,changed
707,681,0.11786556,changed
708,3486,0.13901083,changed
709,3848,0.13035752,changed
710,1548,0.14697692,changed
711,3633,0.14959422,changed
712,3042,0.119660534,changed
713,169,0.11678092,changed
714,728,0.13058802,changed
715,735,0.11934869,changed
716,1797,0.11282408,changed
717,109,0.11765568,changed
718,2876,0.2016426,changed
719,1903,0.1374105,changed
720,3158,0.1311394,changed
721,1023,0.14309438,changed
722,534,0.2324022,changed
723,2166,0.12192455,changed
724,1501,0.121728934,changed
725,39,0.12508677,changed
726,2099,0.12397391,changed
727,3113,0.12541863,changed
728,1446,0.13008165,changed
729,2683,0.117577314,changed
730,2838,0.12698415,changed
731,3908,0.12303679,changed
732,1503,0.12111163,changed
733,3723,0.14512993,changed
734,1859,0.1355739,changed
735,753,0.27823195,changed
736,1569,0.11208272,changed
737,2379,0.13125715,changed
738,2233,0.22686853,changed
739,2162,0.13272354,changed
740,2433,0.116796486,changed
741,3662,0.12700108,changed
742,1762,0.124567844,changed
743,3930,0.2388271,changed
744,3085,0.1337327,changed
745,815,0.13603987,changed
746,3345,0.11857462,changed
747,3537,0.12701021,changed
748,3325,0.13097358,changed
749,3533,0.13812909,changed
750,1341,0.12399547,changed
751,2001,0.1784403,changed
752,2270,0.112672105,changed
753,4051,0.1378092,changed
754,181,0.12847811,changed
755,2482,0.14454848,changed
756,3116,0.11781931,changed
757,571,0.12395659,changed
758,1625,0.12625676,changed
759,902,0.13074541,changed
760,3417,0.11953078,changed
761,320,0.13167427,changed
762,257,0.11472526,changed
763,3755,0.13098225,changed
764,608,0.13691135,changed
765,1075,0.13645098,changed
766,1135,0.13370746,changed
767,2618,0.122605525,changed
768,3858,0.16364962,changed
769,3193,0.13995187,changed
770,3476,0.12236346,changed
771,3618,0.12857868,changed
772,1694,0.16051391,changed
773,376,0.13280529,changed
774,310,0.12806332,changed
775,3516,0.12242189,changed
776,1989,0.2486373,changed
777,1068,0.11351692,changed
778,514,0.12580816,changed
779,3425,0.13199842,changed
780,2135,0.12453878,changed
781,2387,0.119549304,changed
782,2773,0.13406429,changed
783,1552,0.13505533,changed
784,2234,0.14449957,changed
785,3698,0.21994904,changed
786,529,0.25327882,changed
787,1637,0.1344792,changed
788,1548,0.1230178,changed
789,2067,0.153488,changed
790,1099,0.15504476,changed
791,190,0.14465313,changed
792,2194,0.12706168,changed
793,2907,0.11856732,changed
794,2578,0.1291512,changed
795,1615,0.15698878,changed
796,1748,0.37366378,changed
797,2000,0.13872682,changed
798,771,0.32456905,changed
799,2854,0.11256718,changed
800,3930,0.14891195,changed
801,3331,0.1791271,changed
802,1578,0.14844033,changed
803,2316,0.116909474,changed
804,3627,0.14068809,changed
805,2604,0.123812884,changed
806,3504,0.13890015,changed
807,2387,0.12854595,changed
808,2184,0.5328337,shifted
809,3652,0.11740589,changed
810,3579,0.1669474,changed
811,548,0.233257,changed
812,3962,0.13983266,changed
813,831,0.13193655,changed
814,684,0.1358794,changed
815,754,0.14959642,changed
816,484,0.119792685,changed
817,2230,0.13758254,changed
818,3714,0.124201804,changed
819,753,0.13379918,changed
820,339,0.12787175,changed
821,3116,0.15889986,changed
822,3684,0.118734956,changed
823,782,0.12769249,changed
824,3516,0.10761939,changed
825,69,0.26043838,changed
826,4054,0.12436398,changed
827,133,0.11230749,changed
828,2753,0.13402483,changed
829,1627,0.12963626,changed
830,939,0.14368987,changed
831,468,0.11518698,changed
832,3262,0.12360765,changed
833,806,0.37999833,changed
834,153,0.181391,changed
835,4094,0.2316725,changed
836,1794,0.13813716,changed
837,3724,0.160408,changed
838,2876,0.6395462,shifted
839,806,0.13518082,changed
840,2301,0.118889615,changed
841,2314,0.6219281,shifted
842,1654,0.124969974,changed
843,3329,0.13312426,changed
844,3070,0.2121143,changed
845,3113,0.12538365,changed
846,1592,0.11969979,changed
847,3693,0.10853263,changed
848,206,0.1434874,changed
849,2900,0.11568807,changed
850,3745,0.1472053,changed
851,3835,0.120357096,changed
852,1317,0.11902138,changed
853,612,0.12534449,changed
854,2499,0.1300832,changed
855,2997,0.13256975,changed
856,2681,0.11696631,changed
857,2875,0.12806663,changed
858,424,0.11580042,changed
859,2314,0.13247745,changed
860,109,0.15269516,changed
861,3813,0.13565712,changed
862,2439,0.18058984,changed
863,1676,0.22061668,changed
864,1998,0.23398255,changed
865,3278,0.13309649,changed
866,1627,0.15409309,changed
867,2790,0.1330646,changed
868,79,0.11533287,changed
869,1944,0.1260836,changed
870,711,0.1231664,changed
871,1059,0.13679962,changed
872,1081,0.13525766,changed
873,3317,0.14891112,changed
874,358,0.13111135,changed
875,1960,0.1251552,changed
876,3725,0.12740588,changed
877,531,0.13953018,changed
878,2537,0.14378577,changed
879,2175,0.12041991,changed
880,2341,0.13017964,changed
881,834,0.12240228,changed
882,1385,0.12672904,changed
883,3832,0.22745273,changed
884,3924,0.14049107,changed
885,2002,0.12934455,changed
886,3004,0.13572896,changed
887,785,0.11981696,changed
888,4064,0.21088277,changed
889,8,0.12467795,changed
890,1888,0.14685887,changed
891,2263,0.19263016,changed
892,2564,0.11385162,changed
893,3743,0.108181626,changed
894,2381,0.13718727,changed
895,1877,0.13328159,changed
896,745,0.33547372,changed
897,2558,0.13628006,changed
898,828,0.15164977,changed
899,1265,0.14600371,changed
900,264,0.13370353,changed
901,1256,0.119231954,changed
902,1553,0.13191433,changed
903,1937,0.15223208,changed
904,1579,0.12787624,changed
905,1590,0.3378026,changed
906,546,0.15743962,changed
907,992,0.12116263,changed
908,1144,0.113399684,changed
909,1313,0.11944692,changed
910,555,0.1267186,changed
911,743,0.29795203,changed
912,1163,0.13866815,changed
913,3442,0.1465985,changed
914,1676,0.13562258,changed
915,4023,0.123199895,changed
916,2906,0.18532419,changed
917,1543,0.12122117,changed
918,2880,0.2322143,changed
919,1984,0.13068515,changed
920,2951,0.14240895,changed
921,2058,0.42581403,changed
922,3734,0.13186783,changed
923,2604,0.1342135,changed
924,3256,0.11771849,changed
925,440,0.121697,changed
926,49,0.13779706,changed
927,3518,0.14241733,changed
928,2273,0.13088709,changed
929,2228,0.14081822,changed
930,2889,0.13180979,changed
931,342,0.13745259,changed
932,2438,0.12753484,changed
933,3899,0.12561908,changed
934,3251,0.1322923,changed
935,3560,0.11710821,changed
936,2647,0.15981011,changed
937,1076,0.12742217,changed
938,2894,0.13366501,changed
939,3586,0.1262983,changed
940,3572,0.118822254,changed
941,2687,0.12890705,changed
942,1787,0.15479742,changed
943,2427,0.1147175,changed
944,3323,0.12771173,changed
945,1535,0.13668649,changed
946,2109,0.11801721,changed
947,3183,0.11168773,changed
948,431,0.14155906,changed
949,2279,0.12548096,changed
950,2429,0.12330208,changed
951,3722,0.11776304,changed
952,3214,0.18191302,changed
953,3570,0.12786588,changed
954,484,0.38911211,changed
955,3136,0.15397164,changed
956,1684,0.11960271,changed
957,1489,0.117830284,changed
958,254,0.12339543,changed
959,188,0.12698491,changed
960,171,0.12337874,changed
961,3095,0.15826526,changed
962,2090,0.11811942,changed
963,2414,0.14274037,changed
964,2224,0.14030375,changed
965,3038,0.12133309,changed
966,2360,0.12757176,changed
967,3187,0.19289672,changed
968,1148,0.13756117,changed
969,1474,0.12989444,changed
970,2128,0.17211363,changed
971,842,0.11002065,changed
972,1804,0.11846399,changed
973,759,0.14902681,changed
974,1149,0.18183467,changed
975,1855,0.15427834,changed
976,3622,0.14046553,changed
977,2891,0.45703375,changed
978,1706,0.2892735,changed
979,646,0.12283264,changed
980,634,0.12610164,changed
981,359,0.115284935,changed
982,539,0.11885735,changed
983,3033,0.13671513,changed
984,4074,0.12076519,changed
985,614,0.13594864,changed
986,2796,0.11688951,changed
987,2322,0.16126484,changed
988,2283,0.12734592,changed
989,1627,0.16322966,changed
990,1767,0.20137474,changed
991,3911,0.11922428,changed
992,3637,0.17363785,changed
993,2717,0.15601343,changed
994,2223,0.18239293,changed
995,1001,0.13217601,changed
996,1691,0.13313062,changed
997,769,0.14035685,changed
998,3655,0.12114668,changed
999,1031,0.119768426,changed
1000,22,0.12537646,changed
1001,419,0.11978635,changed
1002,150,0.12627125,changed
1003,1567,0.1450279,changed
1004,3293,0.13074212,changed
1005,2579,0.44701317,changed
1006,1695,0.121355236,changed
1007,683,0.12223129,changed
1008,3253,0.15248027,changed
1009,1513,0.11916487,changed
1010,1495,0.13769811,changed
